"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2024","12,531.05","12,633.53","12,671.76","12,249.31","139.68M","0.00%"
"09/11/2024","12,530.45","12,929.39","12,929.39","12,505.22","185.25M","-2.75%"
"09/10/2024","12,884.44","12,956.27","13,082.06","12,850.32","180.98M","-0.21%"
"09/09/2024","12,911.46","12,993.69","13,080.84","12,911.46","121.72M","-0.35%"
"09/06/2024","12,957.42","13,073.69","13,139.56","12,955.81","119.26M","-0.85%"
"09/05/2024","13,068.28","13,006.87","13,137.23","12,956.84","130.81M","0.89%"
"09/04/2024","12,953.51","13,065.76","13,113.68","12,850.61","156.22M","-1.92%"
"09/03/2024","13,207.09","13,449.80","13,517.96","13,207.09","186.76M","-1.75%"
"09/02/2024","13,441.72","13,188.85","13,441.72","13,188.85","168.74M","1.97%"
"08/29/2024","13,181.67","12,959.20","13,190.02","12,825.60","144.33M","1.76%"
"08/28/2024","12,953.95","12,857.98","13,024.23","12,807.09","126.13M","0.55%"
"08/27/2024","12,882.82","12,616.36","12,896.67","12,551.02","137.76M","2.12%"
"08/26/2024","12,615.66","12,952.96","12,996.24","12,609.24","132.90M","-1.83%"
"08/23/2024","12,850.99","13,124.72","13,136.43","12,807.73","134.84M","-2.10%"
"08/22/2024","13,126.81","13,270.98","13,324.30","13,072.71","137.68M","-0.59%"
"08/21/2024","13,204.66","13,407.32","13,514.66","13,182.55","135.21M","-1.74%"
"08/20/2024","13,439.06","13,653.97","13,744.11","13,439.06","122.15M","-1.90%"
"08/19/2024","13,699.34","13,554.29","13,701.34","13,451.61","128.27M","1.60%"
"08/16/2024","13,483.86","13,765.84","13,810.61","13,483.86","132.40M","-1.81%"
"08/15/2024","13,732.85","13,564.04","13,754.60","13,344.59","174.14M","1.51%"
"08/14/2024","13,528.60","13,678.69","13,722.49","13,482.15","221.54M","-0.44%"
"08/13/2024","13,588.21","13,389.46","13,588.21","13,384.65","170.93M","1.79%"
"08/12/2024","13,349.83","13,610.43","13,735.49","13,308.23","151.31M","-1.48%"
"08/09/2024","13,550.15","13,974.31","13,994.91","13,493.63","172.41M","-2.40%"
"08/08/2024","13,882.73","13,765.38","13,977.69","13,709.52","205.68M","0.50%"
"08/07/2024","13,813.37","13,691.94","13,880.31","13,563.02","218.32M","1.80%"
"08/06/2024","13,568.85","13,731.02","13,898.03","13,433.35","253.06M","1.51%"
"08/05/2024","13,366.44","13,545.52","13,838.27","13,168.10","204.83M","-7.04%"
"08/02/2024","14,378.60","14,799.61","14,929.05","14,282.77","220.72M","-3.98%"
"08/01/2024","14,974.30","14,890.57","15,134.27","14,890.57","267.55M","1.38%"
"07/31/2024","14,770.61","14,923.19","14,925.46","14,682.82","294.95M","-0.82%"
"07/30/2024","14,893.10","14,674.05","15,018.03","14,674.05","234.18M","1.88%"
"07/29/2024","14,618.00","14,864.36","14,936.19","14,618.00","295.47M","-1.18%"
"07/26/2024","14,792.27","14,747.41","14,943.53","14,724.80","250.36M","0.54%"
"07/25/2024","14,712.39","14,603.15","14,728.84","14,536.19","238.54M","0.59%"
"07/24/2024","14,626.29","14,794.69","14,889.28","14,620.04","252.04M","-0.80%"
"07/23/2024","14,744.48","14,374.10","14,799.87","14,328.41","298.83M","2.81%"
"07/22/2024","14,341.32","14,309.15","14,516.78","14,286.88","167.47M","0.73%"
"07/19/2024","14,237.31","14,383.52","14,383.52","14,214.30","160.58M","-0.96%"
"07/18/2024","14,375.90","14,289.15","14,507.18","14,289.15","230.08M","1.15%"
"07/17/2024","14,212.10","14,113.44","14,304.15","13,988.26","209.35M","0.78%"
"07/16/2024","14,101.89","14,218.33","14,289.78","14,078.51","163.53M","-0.49%"
"07/12/2024","14,171.09","14,166.13","14,313.50","14,092.64","209.98M","0.16%"
"07/11/2024","14,148.71","14,180.36","14,251.32","14,080.01","132.82M","0.37%"
"07/10/2024","14,097.20","14,300.55","14,300.55","14,044.54","183.06M","-1.22%"
"07/09/2024","14,270.99","13,959.74","14,302.14","13,951.35","250.47M","2.24%"
"07/08/2024","13,958.80","13,708.18","14,044.64","13,653.44","190.46M","2.14%"
"07/05/2024","13,665.97","13,746.71","13,802.62","13,599.61","137.11M","-0.50%"
"07/04/2024","13,735.13","13,775.50","13,806.11","13,646.27","138.46M","1.36%"
"07/03/2024","13,550.97","13,523.71","13,619.83","13,379.09","133.54M","0.78%"
"07/02/2024","13,445.95","13,265.32","13,445.95","13,069.31","118.83M","1.55%"
"07/01/2024","13,241.36","13,808.14","13,882.45","13,081.41","168.51M","-3.72%"
"06/28/2024","13,752.68","13,962.35","14,035.32","13,703.21","175.06M","-1.26%"
"06/27/2024","13,928.23","13,593.95","14,009.87","13,593.95","153.07M","2.53%"
"06/26/2024","13,584.12","13,824.34","13,881.36","13,564.18","131.80M","-1.77%"
"06/25/2024","13,828.32","14,157.05","14,245.81","13,828.32","154.07M","-2.41%"
"06/24/2024","14,169.20","14,163.19","14,260.97","14,032.36","208.11M","-0.82%"
"06/21/2024","14,285.96","14,091.45","14,285.96","14,040.62","162.19M","1.44%"
"06/20/2024","14,083.58","13,815.41","14,083.58","13,815.41","132.77M","2.94%"
"06/14/2024","13,681.19","13,718.17","13,731.42","13,567.43","159.67M","0.54%"
"06/13/2024","13,607.83","13,327.05","13,621.98","13,324.19","140.94M","3.44%"
"06/12/2024","13,154.99","13,063.12","13,237.78","12,977.93","176.75M","0.39%"
"06/11/2024","13,104.25","13,409.05","13,441.76","13,086.29","180.01M","-1.68%"
"06/10/2024","13,327.73","13,729.66","13,729.66","13,317.92","143.03M","-2.48%"
"06/07/2024","13,665.98","14,036.04","14,043.11","13,544.49","224.22M","-1.35%"
"06/06/2024","13,853.52","13,530.23","13,922.55","13,521.67","227.06M","3.03%"
"06/05/2024","13,446.01","13,521.47","13,521.47","13,316.57","242.54M","0.76%"
"06/04/2024","13,344.19","13,443.86","13,582.03","13,338.68","142.12M","-0.65%"
"06/03/2024","13,431.89","13,391.89","13,446.62","13,207.79","160.32M","0.81%"
"05/31/2024","13,324.45","13,537.99","13,666.28","13,275.10","176.39M","-1.09%"
"05/30/2024","13,471.08","13,189.92","13,471.90","13,189.92","196.89M","3.10%"
"05/29/2024","13,065.65","13,565.14","13,655.71","13,065.65","272.63M","-3.51%"
"05/28/2024","13,541.05","13,759.85","13,798.91","13,535.14","135.09M","-1.11%"
"05/27/2024","13,692.82","13,894.68","13,918.82","13,623.56","152.46M","-1.04%"
"05/24/2024","13,836.10","14,102.36","14,181.36","13,829.33","139.43M","-1.66%"
"05/23/2024","14,070.14","14,298.95","14,372.54","14,070.14","183.30M","-1.30%"
"05/22/2024","14,256.04","14,175.88","14,371.23","14,175.88","221.68M","1.37%"
"05/21/2024","14,063.76","14,243.54","14,414.44","14,063.76","291.41M","-0.73%"
"05/20/2024","14,167.22","14,327.23","14,374.21","14,167.22","171.57M","-0.39%"
"05/17/2024","14,223.08","14,211.92","14,379.72","14,183.35","241.74M","0.81%"
"05/16/2024","14,108.36","13,795.26","14,108.36","13,790.03","174.79M","2.62%"
"05/15/2024","13,747.90","13,677.11","13,895.88","13,661.82","158.73M","0.71%"
"05/14/2024","13,651.18","13,873.73","13,972.33","13,642.38","165.66M","-2.08%"
"05/13/2024","13,940.61","14,409.87","14,417.72","13,940.61","146.90M","-3.52%"
"05/10/2024","14,448.59","14,560.98","14,624.93","14,422.84","172.35M","-1.08%"
"05/09/2024","14,605.71","14,709.74","14,780.16","14,550.35","183.94M","-0.33%"
"05/08/2024","14,653.53","14,773.55","14,808.29","14,584.20","182.77M","-0.51%"
"05/07/2024","14,728.96","14,860.04","14,915.93","14,539.19","196.42M","-0.31%"
"05/06/2024","14,774.56","14,648.27","14,828.83","14,561.90","179.54M","1.20%"
"05/03/2024","14,599.94","14,560.12","14,741.78","14,456.44","163.50M","0.37%"
"05/02/2024","14,546.04","14,380.19","14,546.04","14,380.19","166.22M","1.55%"
"04/30/2024","14,324.14","14,527.99","14,597.79","14,299.43","155.70M","-1.83%"
"04/29/2024","14,591.62","14,444.40","14,591.62","14,184.17","185.77M","1.61%"
"04/26/2024","14,360.72","14,275.41","14,432.94","14,184.39","191.86M","0.94%"
"04/25/2024","14,227.52","14,458.33","14,540.42","14,185.84","194.96M","-1.28%"
"04/24/2024","14,412.64","14,509.12","14,601.20","14,308.12","271.17M","-0.22%"
"04/22/2024","14,444.03","14,316.86","14,661.60","14,316.86","196.90M","1.86%"
"04/19/2024","14,180.90","13,893.73","14,219.74","13,874.62","177.72M","1.82%"
"04/18/2024","13,927.19","14,068.64","14,132.03","13,845.79","146.13M","-0.62%"
"04/17/2024","14,013.74","14,127.37","14,276.92","13,917.95","152.64M","-0.40%"
"04/16/2024","14,069.37","14,307.60","14,309.30","13,961.07","165.97M","-1.93%"
"04/15/2024","14,346.97","14,353.02","14,669.33","14,255.18","235.27M","0.26%"
"04/09/2024","14,309.11","14,372.76","14,388.61","14,132.59","94.89M","0.19%"
"04/08/2024","14,281.75","13,861.85","14,293.76","13,822.57","191.09M","3.71%"
"04/05/2024","13,770.71","13,102.87","13,778.42","13,102.87","211.84M","5.48%"
"04/04/2024","13,054.71","13,165.21","13,357.22","12,955.94","264.28M","0.03%"
"04/03/2024","13,050.30","13,088.88","13,245.82","12,968.91","171.31M","-0.38%"
"04/02/2024","13,099.99","13,548.55","13,713.18","13,014.12","162.11M","-2.88%"
"04/01/2024","13,488.67","13,865.85","13,936.49","13,246.01","157.69M","-2.71%"
"03/29/2024","13,864.65","13,657.58","13,881.53","13,616.37","192.40M","3.17%"
"03/28/2024","13,439.19","13,625.59","13,721.23","13,433.82","172.28M","-1.08%"
"03/27/2024","13,586.47","13,554.16","13,797.92","13,281.25","193.04M","1.86%"
"03/26/2024","13,338.20","13,917.87","13,984.36","13,270.46","175.92M","-3.77%"
"03/25/2024","13,860.97","14,332.19","14,384.93","13,856.65","211.06M","-2.94%"
"03/22/2024","14,281.27","14,537.60","14,677.92","14,226.74","211.38M","-1.62%"
"03/21/2024","14,517.12","14,637.01","14,801.76","14,501.26","270.37M","-0.04%"
"03/20/2024","14,522.34","14,511.60","14,714.80","14,481.64","257.23M","0.48%"
"03/19/2024","14,452.74","13,929.83","14,570.02","13,898.55","263.53M","3.58%"
"03/18/2024","13,953.33","14,607.92","14,607.92","13,886.35","187.94M","-4.45%"
"03/15/2024","14,603.85","14,599.19","14,825.59","14,479.98","274.13M","-0.31%"
"03/14/2024","14,648.73","14,673.38","14,846.09","14,455.31","231.75M","0.11%"
"03/13/2024","14,632.63","14,737.31","14,907.90","14,403.31","272.23M","-0.63%"
"03/12/2024","14,724.90","15,003.60","15,094.11","14,480.40","274.64M","-2.25%"
"03/11/2024","15,064.49","15,741.59","15,844.56","15,052.28","270.11M","-2.42%"
"03/08/2024","15,438.34","15,455.33","15,758.34","15,203.50","351.72M","1.13%"
"03/07/2024","15,266.48","14,513.36","15,266.48","14,513.36","305.08M","5.05%"
"03/06/2024","14,533.05","15,344.24","15,344.24","14,520.33","405.40M","-4.82%"
"03/05/2024","15,268.58","15,717.04","15,829.89","15,192.62","369.39M","-2.57%"
"03/04/2024","15,671.54","16,105.69","16,186.49","15,635.17","370.52M","-2.29%"
"03/01/2024","16,039.19","16,168.51","16,274.69","16,021.82","376.24M","0.27%"
"02/29/2024","15,996.57","15,699.37","16,072.04","15,699.37","452.95M","1.48%"
"02/28/2024","15,763.80","16,610.51","16,751.83","15,763.80","452.84M","-4.77%"
"02/27/2024","16,554.02","16,903.69","17,031.65","16,548.91","513.28M","-0.77%"
"02/26/2024","16,682.20","16,073.21","16,839.77","16,073.21","462.62M","4.89%"
"02/23/2024","15,904.73","15,729.02","15,959.82","15,519.76","430.51M","1.68%"
"02/22/2024","15,642.17","15,245.36","15,692.49","15,245.36","495.62M","3.45%"
"02/21/2024","15,119.84","14,753.12","15,211.89","14,676.30","485.78M","3.24%"
"02/20/2024","14,644.77","14,356.55","14,677.03","14,242.63","316.36M","2.82%"
"02/19/2024","14,242.66","14,192.97","14,483.82","14,154.92","400.20M","1.01%"
"02/16/2024","14,099.69","13,959.86","14,268.96","13,796.52","401.71M","1.59%"
"02/15/2024","13,878.78","13,793.50","14,052.55","13,793.50","363.71M","1.43%"
"02/14/2024","13,683.50","13,505.20","13,683.50","13,220.89","356.89M","1.68%"
"02/13/2024","13,457.45","13,618.52","13,756.28","13,451.29","453.31M","-0.14%"
"02/12/2024","13,476.08","13,300.08","13,517.47","13,300.08","367.01M","3.21%"
"02/09/2024","13,056.45","12,840.43","13,135.32","12,710.94","368.77M","2.31%"
"02/08/2024","12,761.43","12,715.64","12,824.93","12,662.88","417.00M","0.54%"
